Danish,English,Polish
er        ,is        ,jest        
jeg        ,I        ,ja
det        ,it        ,to        
du        ,you        ,ty
ikke       ,not       ,nie
at       ,that       ,że       
en       ,a       ,-
og       ,and       ,i       
har       ,have       ,mają       
vi       ,we       ,my       
til       ,to       ,do       
på       ,at       ,na       
hvad       ,what       ,co       
mig       ,me       ,ja       
med       ,with       ,z       
de       ,the       ,       
den       ,the       ,-
for       ,for       ,dla       
der       ,there       ,tam       
så       ,so       ,więc       
dig       ,you       ,ty       
han       ,he       ,on       
kan       ,can       ,może       
af       ,by       ,przez       
vil       ,will       ,będzie       
var       ,was       ,był       
her       ,here       ,tutaj       
et       ,one       ,jeden       
skal       ,must       ,musi       
ved       ,at       ,na       
men       ,but       ,ale       
om       ,about       ,o       
nu       ,now       ,teraz       
som       ,as       ,jak       
ja       ,yes       ,tak       
min       ,my       ,mój       
nej       ,no       ,nie       
noget       ,something       ,coś       
ham       ,him       ,on       
hun       ,she       ,ona       
være       ,be       ,być       
bare       ,just       ,po prostu       
kom       ,come       ,chodź
din       ,your       ,Twój       
hvor       ,where       ,gdzie       
os       ,us       ,nas
dem       ,them       ,ich       
hvis       ,if       ,jeśli       
ud       ,out       ,na zewnątrz
må       ,may       ,może
fra       ,from       ,z       
se       ,see       ,zobaczyć       
godt       ,well       ,dobrze       
have      ,have      ,mają
ville      ,would      ,byłoby
gør      ,do      ,zrobić
lige      ,just      ,tylko
okay      ,okay      ,okay      
alle      ,all      ,wszystko      
op      ,up      ,w górę      
lad      ,let      ,niech
hvorfor      ,why      ,dlaczego      
tror      ,think      ,pomyśl
sig      ,go to     ,udać się do
tak      ,thanks      ,dzięki      
hvordan      ,how      ,jak      
kommer      ,come      ,wejdź
få      ,get      ,uzyskać      
kunne      ,could      ,może
gøre      ,do      ,zrobić
meget      ,much      ,dużo      
eller      ,or      ,lub      
hende      ,her      ,jej      
ingen      ,no      ,nie ma      
tilbage      ,left      ,w lewo      
hvem      ,who      ,kto      
gå      ,go      ,wejdą na stronę      
bliver      ,will be      ,będzie      
havde      ,had      ,      
efter      ,after      ,po      
nok      ,enough      ,wystarczająco dużo      
man      ,man      ,człowiek      
da      ,da      ,da      
går      ,goes      ,idzie      
alt      ,everything      ,wszystko
sagde      ,said      ,powiedział      
mit      ,my      ,mój      
når      ,when      ,kiedy      
ind      ,into      ,w      
vores      ,our      ,nasz      
over      ,over      ,nad      
aldrig      ,never      ,nigdy      
nogen      ,anyone      ,nikt
måske      ,maybe      ,może      
hans      ,his      ,jego      
skulle      ,should      ,powinien      
mand      ,man      ,człowiek      
selv      ,even      ,nawet      
to      ,to      ,na      
mere      ,more      ,więcej      
jo      ,jo      ,jo      
jer      ,you      ,ty      
siger      ,says      ,mówi      
også      ,also      ,także      
lidt      ,a little      ,trochę      
dit      ,your      ,twój      
kun      ,only      ,tylko      
deres      ,their      ,ich      
far      ,father      ,ojciec      
ser      ,see      ,zobacz      
blev      ,was      ,był      
får      ,get      ,uzyskać
hej      ,hi      ,cześć
sådan      ,like this      ,jak to      
dette      ,this      ,to      
igen      ,again      ,ponownie      
sammen      ,together      ,razem      
denne      ,this      ,to      
hele      ,all      ,wszystko      
hold      ,team      ,zespół      
mine      ,mine      ,moja      
tager      ,take      ,take      
ned      ,down      ,down      
komme      ,come      ,come      
dag      ,day      ,dzień      
undskyld      ,sorry      ,przepraszam
tage      ,take      ,wziąć      
blive      ,become      ,stać się      
mor      ,mother      ,matka      
væk      ,away      ,z dala
end      ,than      ,niż      
åh      ,oh      ,oh      
sige      ,say      ,powiedz
været      ,been      ,był      
tid      ,time      ,czas
fordi      ,because      ,ponieważ      
helt      ,completely      ,całkowicie      
sted      ,place      ,miejsce      
før      ,before      ,przed      
gjorde      ,did      ,zrobił      
god      ,good      ,dobrze      
gang      ,time      ,czas      
år      ,year      ,rok      
tag      ,tag      ,tag      
laver      ,do      ,do      
mange      ,many      ,wiele      
nogle      ,some      ,some      
dine      ,your      ,twój      
fik      ,got      ,dostał
mener      ,think      ,pomyśl
ting      ,thing      ,rzecz
lille      ,little      ,mała
siden      ,since      ,ponieważ      
altid      ,always      ,zawsze      
mr      ,mr      ,pan      
brug      ,use      ,używać      
folk      ,people      ,ludzie      
virkelig      ,really      ,naprawdę      
vent      ,wait      ,czekaj      
finde      ,find      ,znaleźć      
anden      ,other      ,inne      
stadig      ,still      ,wciąż      
hjem      ,home      ,dom      
gud      ,god      ,bóg      
liv      ,life      ,życie      
vej      ,way      ,droga      
kender      ,know      ,poznaj      
andre      ,others      ,inni      
klar      ,ready      ,gotowy      
tale      ,talk      ,rozmawiać      
mod      ,towards      ,w kierunku      
uden      ,without      ,bez      
elsker      ,love      ,miłość      
set      ,seen      ,widziane      
tre      ,three      ,trzy      
hør      ,listen      ,słuchać      
ret      ,right      ,dobrze      
gerne      ,like      ,jak      
hr      ,hr      ,hr      
giv      ,give      ,podać
sir      ,sir      ,sir      
sidste      ,last      ,ostatni      
tog      ,train      ,pociąg
fanden      ,damn      ,cholera      
intet      ,nothing      ,nic      
død      ,dead      ,martwy      
fint      ,fine      ,w porządku      
vel      ,well      ,dobrze      
nå      ,reach      ,zasięg
jeres      ,your      ,twój
lide      ,like      ,jak      
troede      ,thought      ,myśl      
hendes      ,her      ,jej      
hen      ,to      ,do      
blevet      ,been      ,była      
vide      ,know      ,wiedzieć
gjort      ,done      ,zrobione      
sker      ,happens      ,dzieje się      
bedre      ,better      ,lepiej      
ven      ,friend      ,przyjaciel
